Symptom 1,Symptom 2,Symptom 3,Medicine
heartburn,,,Aciloc
inflammation,stomach acid,cough,"Azithromycin, Aciloc, Diclofenac"
joint pain,fever,,"Paracetamol, Diclofenac"
sore throat,stomach cramps,sneezing,"Cetirizine, Azithromycin, Lomotil"
stomach acid,,,Aciloc
stomach cramps,,,Lomotil
bacterial infection,nausea,pain,"Azithromycin, Aciloc, Diclofenac"
stomach acid,fever,bacterial infection,"Azithromycin, Aciloc, Paracetamol"
joint pain,,,Diclofenac
sneezing,,,Cetirizine
itchy eyes,bacterial infection,muscle pain,"Cetirizine, Azithromycin, Paracetamol"
cough,itchy eyes,respiratory infection,"Cetirizine, Azithromycin"
inflammation,,,Diclofenac
muscle pain,,,Paracetamol
nausea,muscle pain,bacterial infection,"Azithromycin, Aciloc, Paracetamol"
fever,inflammation,muscle pain,"Paracetamol, Diclofenac"
joint pain,diarrhea,cough,"Azithromycin, Lomotil, Diclofenac"
itchy eyes,fever,inflammation,"Cetirizine, Paracetamol, Diclofenac"
diarrhea,fever,,"Lomotil, Paracetamol"
sneezing,fever,inflammation,"Cetirizine, Paracetamol, Diclofenac"
heartburn,headache,,"Aciloc, Paracetamol"
cough,,,Azithromycin
cough,sore throat,,Azithromycin
inflammation,stomach cramps,,"Lomotil, Diclofenac"
skin rash,,,Cetirizine
sore throat,pain,,"Azithromycin, Diclofenac"
itchy eyes,fever,skin rash,"Cetirizine, Paracetamol"
joint pain,,,Diclofenac
inflammation,,,Diclofenac
fever,,,Paracetamol
muscle pain,,,Paracetamol
sore throat,,,Azithromycin
headache,fever,,Paracetamol
diarrhea,respiratory infection,nausea,"Azithromycin, Lomotil, Aciloc"
diarrhea,cough,nausea,"Azithromycin, Lomotil, Aciloc"
cough,runny nose,stomach acid,"Cetirizine, Azithromycin, Aciloc"
fever,,,Paracetamol
sneezing,pain,bacterial infection,"Cetirizine, Azithromycin, Diclofenac"
inflammation,pain,,Diclofenac
itchy eyes,skin rash,fever,"Cetirizine, Paracetamol"
skin rash,cough,muscle pain,"Cetirizine, Azithromycin, Paracetamol"
runny nose,,,Cetirizine
sneezing,,,Cetirizine
